date,category,district,requests,resolved,response_days,satisfaction,resource_hours
2025-01-01,housing,east,158,129.0,5.6,4.2,80
2025-01-01,health,south,109,49.0,10.6,4.4,67
2025-01-02,transport,east,68,55.0,5.6,6.6,56
2025-01-02,food,south,52,43.0,7.6,3.8,49
2025-01-03,safety,south,70,43.0,12.1,2.7,52
2025-01-03,housing,north,155,153.0,8.3,4.6,70
2025-01-04,health,west,123,90.0,8.7,5.2,72
2025-01-04,transport,south,95,60.0,8.8,4.3,70
2025-01-05,food,south,58,24.0,7.5,6.0,45
2025-01-05,safety,west,17,9.0,6.4,6.2,51
2025-01-06,housing,east,128,106.0,22.5,3.5,60
2025-01-06,housing,west,143,122.0,7.9,5.4,82
2025-01-07,transport,south,101,47.0,8.2,3.7,53
2025-01-07,food,east,70,58.0,8.2,5.7,56
2025-01-08,safety,north,58,31.0,4.0,5.1,44
2025-01-08,housing,south,130,87.0,8.8,4.8,63
2025-01-09,health,east,86,60.0,9.2,2.8,65
2025-01-09,transport,east,53,40.0,6.1,5.7,53
2025-01-10,food,north,64,45.0,7.0,6.1,69
2025-01-10,safety,east,96,57.0,6.8,4.3,60
2025-01-11,housing,north,155,136.0,5.9,5.0,81
2025-01-11,health,south,182,105.0,8.7,1.7,88
2025-01-12,transport,east,74,53.0,9.4,4.8,56
2025-01-12,food,east,28,15.0,6.5,7.3,48
2025-01-13,food,west,40,20.0,5.3,8.2,41
2025-01-13,housing,west,163,135.0,8.8,5.0,74
2025-01-14,health,south,98,39.0,6.5,4.8,80
2025-01-14,transport,north,97,97.0,7.7,5.2,75
2025-01-15,safety,east,64,33.0,4.8,7.6,73
2025-01-15,safety,east,50,50.0,5.0,4.8,58
2025-01-16,housing,south,135,78.0,12.0,3.3,80
2025-01-16,transport,south,68,22.0,6.6,4.2,66
2025-01-17,transport,east,90,61.0,7.2,6.3,67
2025-01-17,food,east,52,36.0,7.5,5.3,42
2025-01-18,health,east,172,151.0,7.9,4.7,68
2025-01-18,housing,south,147,95.0,8.4,3.4,55
2025-01-19,health,west,96,66.0,7.6,3.4,49
2025-01-19,transport,east,57,29.0,10.4,7.6,42
2025-01-20,food,south,113,50.0,8.6,4.9,72
2025-01-20,safety,north,56,33.0,6.1,5.8,56
2025-01-21,transport,east,115,88.0,8.9,4.8,68
2025-01-21,health,east,107,105.0,11.0,4.7,59
2025-01-22,transport,north,96,73.0,9.5,5.5,68
2025-01-22,safety,west,71,43.0,6.4,5.9,58
2025-01-23,safety,east,53,41.0,9.7,1.8,50
2025-01-23,housing,north,147,127.0,5.2,6.7,94
2025-01-24,health,east,101,75.0,6.1,5.1,78
2025-01-24,transport,south,133,87.0,10.3,5.5,77
2025-01-25,food,east,71,44.0,9.2,3.4,65
2025-01-25,safety,east,61,59.0,8.6,6.9,62
2025-01-26,housing,east,110,76.0,10.9,5.0,60
2025-01-26,health,north,110,84.0,6.4,6.3,79
2025-01-27,transport,south,97,54.0,9.5,5.6,43
2025-01-27,food,south,84,27.0,11.1,3.8,69
2025-01-28,safety,north,86,80.0,7.5,6.0,52
2025-01-28,housing,east,320,106.0,10.5,3.2,72
2025-01-29,health,north,89,82.0,8.7,5.4,75
2025-01-29,transport,east,111,89.0,12.4,3.7,47
2025-01-30,food,north,72,72.0,4.0,5.2,41
2025-01-30,safety,east,70,58.0,7.9,3.5,34
2025-01-31,housing,east,151,121.0,9.3,5.5,80
2025-01-31,health,north,105,96.0,9.0,4.9,71
2025-02-01,health,north,130,93.0,5.7,4.5,49
2025-02-01,housing,east,132,101.0,10.6,5.8,72
2025-02-02,safety,east,93,70.0,6.4,4.7,48
2025-02-02,housing,east,131,107.0,11.7,2.6,76
